t,x
48625,5.194639143213016e-06
48626,5.233672542718145e-06
48627,5.276907975146598e-06
48628,5.3208114328204115e-06
48629,5.361758121756625e-06
48630,5.396942691188665e-06
48631,5.42628968589661e-06
48632,5.451315211427214e-06
48633,5.472294956408692e-06
48634,5.488679971515806e-06
48635,5.500960641962996e-06
48636,5.509639543690777e-06
48637,5.515437401779479e-06
48638,5.521346649319961e-06
48639,5.531904834487957e-06
48640,5.550645767116223e-06
48641,5.57660741555862e-06
48642,5.604448725654284e-06
48643,5.631952218439185e-06
48644,5.6625887698051565e-06
48645,5.6978840201270975e-06
48646,5.734512927723895e-06
48647,5.7686497793195605e-06
48648,5.798301960624893e-06
48649,5.822900310241099e-06
48650,5.842317411423807e-06
48651,5.85651221664331e-06
48652,5.865790044695903e-06
48653,5.870160933820564e-06
48654,5.869716615052057e-06
48655,5.866351335209842e-06
48656,5.862791072073316e-06
48657,5.858807692789943e-06
48658,5.853658671944155e-06
48659,5.8517980751295735e-06
48660,5.857835824517355e-06
48661,5.870163533802212e-06
48662,5.884100110479424e-06
48663,5.896048853172673e-06
48664,5.904956425601733e-06
48665,5.912823667865415e-06
48666,5.921178839986945e-06
48667,5.928237822699427e-06
48668,5.931504665671877e-06
48669,5.929842054496493e-06
48670,5.923767236196208e-06
48671,5.915487710037593e-06
48672,5.906516379662559e-06
48673,5.895719881638304e-06
48674,5.8819448143255365e-06
48675,5.866623929089857e-06
48676,5.851587538754066e-06
48677,5.835692546550943e-06
48678,5.817257583658479e-06
48679,5.797316787360627e-06
48680,5.77735175776953e-06
48681,5.759844403106663e-06
48682,5.749220985608023e-06
48683,5.745279647479121e-06
48684,5.743164796287823e-06
48685,5.740379003727562e-06
48686,5.735663399173348e-06
48687,5.7273191762868955e-06
48688,5.714928246840795e-06
48689,5.699591527728929e-06
48690,5.683806950635169e-06
48691,5.670495730405595e-06
48692,5.660496861852587e-06
48693,5.650842190069897e-06
48694,5.637771054652178e-06
48695,5.62041200085972e-06
48696,5.599702878145707e-06
48697,5.576463986692991e-06
48698,5.551396595251862e-06
48699,5.525380694174433e-06
48700,5.498262784211987e-06
48701,5.469050151797597e-06
48702,5.437414105603562e-06
48703,5.403963060762451e-06
48704,5.370896862472341e-06
48705,5.338633595421236e-06
48706,5.306173810603436e-06
48707,5.274721807218312e-06
48708,5.2442367227190375e-06
48709,5.214721125989111e-06
48710,5.189659293802275e-06
48711,5.170300929937947e-06
48712,5.153167413395988e-06
48713,5.134889971189109e-06
48714,5.115301833518661e-06
48715,5.097066234448725e-06
48716,5.081439813910575e-06
48717,5.0666680470906545e-06
48718,5.0507562577438415e-06
48719,5.03369581436411e-06
48720,5.0160614907902834e-06
48721,4.997904562976168e-06
48722,4.9801585035160244e-06
48723,4.963285943883082e-06
48724,4.94830834879558e-06
48725,4.937326262923691e-06
48726,4.932134325510236e-06
48727,4.934184921126858e-06
48728,4.941571930425282e-06
48729,4.948969314925736e-06
48730,4.952849473029946e-06
48731,4.953830149508217e-06
48732,4.954297403450498e-06
48733,4.955065779465236e-06
48734,4.9545455039784105e-06
48735,4.950778999695712e-06
48736,4.9433318845431105e-06
48737,4.932500605520972e-06
48738,4.919007472975612e-06
48739,4.904711250690325e-06
48740,4.891137095375135e-06
48741,4.8799397425658206e-06
48742,4.873425621221939e-06
48743,4.870903218045591e-06
48744,4.868520375999889e-06
48745,4.863819504065372e-06
48746,4.856263547686574e-06
48747,4.8453765686210665e-06
48748,4.8315423940138495e-06
48749,4.816206419683232e-06
48750,4.8001395536453635e-06
48751,4.782974669484091e-06
48752,4.764552499611213e-06
48753,4.744816970686387e-06
48754,4.723378434025932e-06
48755,4.701028674255922e-06
48756,4.679316632420364e-06
48757,4.657750979859326e-06
48758,4.634999725336682e-06
48759,4.611232379303878e-06
48760,4.585984775134054e-06
48761,4.5590685187147125e-06
48762,4.532995399690463e-06
48763,4.508914433516721e-06
48764,4.487219593804137e-06
48765,4.470123114473348e-06
48766,4.45636007588529e-06
48767,4.442373172805206e-06
48768,4.426901773098135e-06
48769,4.4098359988526395e-06
48770,4.390828509503878e-06
48771,4.369781985866409e-06
48772,4.347980983003483e-06
48773,4.326589831284427e-06
48774,4.30501663966355e-06
48775,4.283840232015063e-06
48776,4.2664266364357646e-06
48777,4.253194319827251e-06
48778,4.24114556084511e-06
48779,4.229731065837761e-06
48780,4.219265789384084e-06
48781,4.2083029739652615e-06
48782,4.1965184617276525e-06
48783,4.1858725159469265e-06
48784,4.17798632599092e-06
48785,4.171962493728203e-06
48786,4.165530841052292e-06
48787,4.158562740076223e-06
48788,4.1525084653700485e-06
48789,4.147054430648964e-06
48790,4.141921939738126e-06
48791,4.1381261674136096e-06
48792,4.134976154252903e-06
48793,4.13039452936243e-06
48794,4.1234217357169735e-06
48795,4.114391911590369e-06
48796,4.10502866470501e-06
48797,4.097487520704132e-06
48798,4.092119203186894e-06
48799,4.089017101552427e-06
48800,4.090492102723817e-06
48801,4.0987346399158995e-06
48802,4.111692760553429e-06
48803,4.125697013530233e-06
48804,4.1409994162514005e-06
48805,4.158133721729369e-06
48806,4.174606925451465e-06
48807,4.188838030338781e-06
48808,4.201521887233136e-06
48809,4.213768667073799e-06
48810,4.225265587116778e-06
48811,4.235186331264772e-06
48812,4.244797759439517e-06
48813,4.258434210474714e-06
48814,4.280560090907325e-06
48815,4.308937807334273e-06
48816,4.336504041513668e-06
48817,4.360053378558597e-06
48818,4.379756766610952e-06
48819,4.395843566807633e-06
48820,4.410153499051283e-06
48821,4.426397144655337e-06
48822,4.445967714947901e-06
48823,4.467648712892901e-06
48824,4.492413579768668e-06
48825,4.520017869724665e-06
48826,4.546013729294531e-06
48827,4.567516818849463e-06
48828,4.585181739309315e-06
48829,4.5996296203865065e-06
48830,4.611833387240199e-06
48831,4.6245529843562894e-06
48832,4.638854858519715e-06
48833,4.655515139104216e-06
48834,4.675985865864928e-06
48835,4.697506204567408e-06
48836,4.7163380065097225e-06
48837,4.732722093846855e-06
48838,4.74777289424771e-06
48839,4.7619607309144084e-06
48840,4.776893077172718e-06
48841,4.794674492462782e-06
48842,4.814973877467265e-06
48843,4.835050657053472e-06
48844,4.85361945137479e-06
48845,4.870208156188925e-06
48846,4.883887724381009e-06
48847,4.8963520754173985e-06
48848,4.910423179732537e-06
48849,4.925291311353891e-06
48850,4.937381409389943e-06
48851,4.945956539035644e-06
48852,4.953444751881367e-06
48853,4.960174101681847e-06
48854,4.964309174981524e-06
48855,4.96483587415774e-06
48856,4.963073877780734e-06
48857,4.9635515531930025e-06
48858,4.97088140528817e-06
48859,4.9855105905961965e-06
48860,5.003263551542384e-06
48861,5.018935416421998e-06
48862,5.030224398975271e-06
48863,5.038148828511631e-06
48864,5.045666945385802e-06
48865,5.0550727843913e-06
48866,5.065349779666232e-06
48867,5.076157173860603e-06
48868,5.09068043743602e-06
48869,5.108962687195688e-06
48870,5.126451914751591e-06
48871,5.140702677113168e-06
48872,5.1539589629010255e-06
48873,5.169070126853042e-06
48874,5.186432170317453e-06
48875,5.205334433478629e-06
48876,5.224312304850716e-06
48877,5.2412689992480926e-06
48878,5.25605454062977e-06
48879,5.270788392484767e-06
48880,5.287874920017065e-06
48881,5.3092035640308664e-06
48882,5.3348253285501e-06
48883,5.362149021045052e-06
48884,5.387780278668711e-06
48885,5.4101298444483484e-06
48886,5.430583865221241e-06
48887,5.451966162085559e-06
48888,5.4753124589189045e-06
48889,5.498487441056933e-06
48890,5.519071358044398e-06
48891,5.538576171544179e-06
48892,5.5609961271833155e-06
48893,5.587411401014406e-06
48894,5.6154713507141634e-06
48895,5.643423029085496e-06
48896,5.671336981976062e-06
48897,5.697753077551801e-06
48898,5.7206855175846145e-06
48899,5.740419719395521e-06
48900,5.756267563219688e-06
